source,target
BIGBOX-1,3020
BIGBOX-1,98138
BIGBOX-1,2780
BIGBOX-1,3023
BIGBOX-1,6141
75192-1,3021
75192-1,15712
75192-1,2780
75192-1,3023
75192-1,2412b
71043-1,3005
71043-1,3024
71043-1,3023
71043-1,6141
71043-1,54200
10256-1,3005
10256-1,3024
10256-1,3023
10256-1,3062b
10256-1,2877
10189-1,3005
10189-1,3024
10189-1,3023
10189-1,3062b
10189-1,2877
SWMP-1,3020
SWMP-1,3024
SWMP-1,3023
SWMP-1,3068b
SWMP-1,3710
2000409-1,3010
2000409-1,3005pr0003
2000409-1,4286
2000409-1,3957b
2000409-1,3004
10179-1,3021
10179-1,2780
10179-1,3023
10179-1,3068b
10179-1,3710
70620-1,3069b
70620-1,3024
70620-1,3023
70620-1,3622
70620-1,3004
75252-1,15573
75252-1,3069b
75252-1,6558
75252-1,3023
75252-1,2412b
75827-1,3005
75827-1,3010
75827-1,3069b
75827-1,3023
75827-1,3004
40179-1,96874
40179-1,3024
40179-1,4186
10214-1,3005
10214-1,3666
10214-1,3024
10214-1,3023
10214-1,54200
10253-1,32028
10253-1,3005
10253-1,3666
10253-1,3024
10253-1,3023
10261-1,87580
10261-1,14696
10261-1,92280
10261-1,3941
10261-1,3023
42100-1,11214
42100-1,43093
42100-1,2780
42100-1,3941
42100-1,6558
71040-1,15573
71040-1,3068b
71040-1,3069b
71040-1,3023
71040-1,6141
42082-1,43093
42082-1,32054
42082-1,2780
42082-1,6558
42082-1,32140
75159-1,3021
75159-1,3020
75159-1,3023
75159-1,6141
75159-1,3004
10255-1,3005
10255-1,15573
10255-1,3069b
10255-1,3024
10255-1,3023
