States,Region,2010,2011,2012,2013,2014,2015,Total Earthquakes
Alabama,South,1,1,0,0,2,6,10
Alaska,West,2245,1409,1166,1329,1296,1575,9020
Arizona,West,6,7,4,3,31,10,61
Arkansas,South,15,44,4,4,1,0,68
California,West,546,195,243,240,191,130,1545
Colorado,West,4,23,7,2,13,7,56
Connecticut,Northeast,0,0,0,0,0,1,1
Delaware,South,0,0,0,0,0,0,0
Florida,South,0,0,0,0,0,0,0
Georgia,South,0,0,0,0,0,0,0
Hawaii,West,17,34,40,30,26,53,200
Idaho,West,7,4,4,11,31,38,95
Illinois,Midwest,1,0,2,1,0,1,5
Indiana,Midwest,1,0,3,0,0,0,4
Iowa,Midwest,0,0,0,0,0,0,0
Kansas,Midwest,0,0,0,2,42,60,104
Kentucky,South,0,0,2,0,0,0,2
Louisiana,South,1,0,0,0,0,0,1
Maine,Northeast,1,0,1,1,0,0,3
Maryland,South,1,0,0,0,0,0,1
Massachusetts,Northeast,0,0,0,0,0,0,0
Michigan,Midwest,0,0,0,0,0,2,2
Minnesota,Midwest,0,0,0,0,1,0,1
Mississippi,South,0,0,0,0,0,3,3
Missouri,Midwest,2,3,2,0,1,5,13
Montana,West,7,11,9,14,29,19,89
Nebraska,Midwest,2,0,1,0,0,3,6
Nevada,West,38,86,22,34,161,172,513
New Hampshire,Northeast,1,0,0,0,0,0,1
New Jersey,Northeast,0,0,0,0,0,0,0
New Mexico,West,7,7,3,6,3,12,38
New York,Northeast,0,1,0,0,0,2,3
North Carolina,South,0,0,0,0,1,0,1
North Dakota,Midwest,0,0,1,0,0,0,1
Ohio,Midwest,1,3,0,1,1,0,6
Oklahoma,South,41,63,34,103,585,888,1714
Oregon,West,4,0,4,2,4,3,17
Pennsylvania,Northeast,0,0,0,0,0,0,0
Rhode Island,Northeast,0,0,0,0,0,0,0
South Carolina,South,0,0,0,0,3,0,3
South Dakota,Midwest,0,3,1,1,1,0,6
Tennessee,South,1,0,4,1,1,1,8
Texas,South,9,18,11,16,8,21,83
Utah,West,17,16,16,6,10,4,69
Vermont,Northeast,0,0,0,0,0,0,0
Virginia,South,1,7,4,0,1,0,13
Washington,West,5,14,6,18,6,11,60
West Virginia,South,1,0,0,1,0,0,2
Wisconsin,Midwest,0,0,0,0,0,0,0
Wyoming,West,43,6,9,73,179,198,508
